Basin/Plan Area,Document Type,Direct Document Link
Baffle Creek,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/baffle-creek
Barron,WMP,https://www.dlgwv.qld.gov.au/__data/assets/pdf_file/0011/1727453/barron-water-management-protocol.pdf
Border Rivers & Moonie,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/border-rivers-moonie
Boyne River,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0012/249699/boyne-river-protocol.pdf
Burdekin Basin,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/burdekin
Burnett Basin,WMP,https://www.dlgwv.qld.gov.au/__data/assets/pdf_file/0009/1474767/burnett-water-management-protocol.pdf
Calliope River,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0008/249704/calliope-protocol.pdf
Cape York,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/1448546/cape-york-water-management-protocol.pdf
Condamine & Balonne,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/condamine-balonne
Cooper Creek,ROP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0006/110787/cooper-creek-resource-operations-plan.pdf
Fitzroy Basin,WMP,https://www.dlgwv.qld.gov.au/__data/assets/pdf_file/0005/1727294/fitzroy-wmp.pdf
Georgina & Diamantina,ROP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0016/106045/gd-rop.pdf
Gold Coast,WMP (Draft),https://www.dlgwv.qld.gov.au/__data/assets/pdf_file/0006/2096655/gold-coast-water-management-protocol.pdf
Great Artesian Basin (GABORA),WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0006/1274955/water-management-protocol.pdf
Gulf,ROP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0005/293927/gulf-rop-amendment-august-2015.pdf
Logan Basin,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/logan-basin
Mary Basin,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1862482/mary-basin-water-management-protocol.pdf
Mitchell,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0007/1076038/mitchell-protocol.pdf
Moreton,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0004/1365295/moreton-water-management-protocol.pdf
Pioneer Valley,WMP,https://www.nrmmrrd.qld.gov.au/__data/assets/pdf_file/0011/1479863/pioneer-valley-water-management-protocol-apr-20.pdf
Warrego Paroo Bulloo & Nebine,WMP,https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/water-plan-areas/warrego-paroo-bulloo-nebine
Wet Tropics,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0011/1839674/wet-tropics-water-management-protocol.pdf
Whitsunday,WMP,https://www.rdmw.qld.gov.au/__data/assets/pdf_file/0011/1595612/whitsunday-water-management-protocol.pdf
